Date,Open,High,Low,Close,Adj Close,Volume
4/27/2018,53380,53640,52440,53000,46642.30078,30310800
4/30/2018,53000,53000,53000,53000,46642.30078,0
5/2/2018,53000,53000,53000,53000,46642.30078,0
5/3/2018,53000,53000,53000,53000,46642.30078,0
5/4/2018,53000,53900,51800,51900,45674.25391,39565391
5/8/2018,52600,53200,51900,52600,46290.28906,23104720
5/9/2018,52600,52800,50900,50900,44794.21484,16128305
5/10/2018,51700,51700,50600,51600,45410.23828,13905263
5/11/2018,52000,52200,51200,51300,45146.23438,10314997
5/14/2018,51000,51100,49900,50100,44090.17578,14909272
5/15/2018,50200,50400,49100,49200,43298.13672,18709146
5/16/2018,49200,50200,49150,49850,43870.16797,15918683
5/17/2018,50300,50500,49400,49400,43474.14844,10365440
5/18/2018,49900,49900,49350,49500,43562.15234,6706570
5/21/2018,49650,50200,49100,50000,44002.17578,9020998
5/23/2018,50600,52000,50400,51800,45586.25391,17095490
5/24/2018,52000,52000,51100,51400,45234.23438,8289275
5/25/2018,51000,52800,50800,52700,46378.28906,15207266
5/28/2018,52500,53000,52000,52300,46026.26172,9787820
5/29/2018,52200,52500,51300,51300,45146.23438,8480437
5/30/2018,51300,51500,49100,49500,43562.15234,20498098
5/31/2018,50400,50800,49850,50700,44618.19922,63491109
6/1/2018,50500,51700,49950,51300,45146.23438,13038499
6/4/2018,50800,51200,50700,51100,44970.23047,9767171
6/5/2018,51100,51400,50400,51300,45146.23438,9144100
6/7/2018,51800,51800,50500,50600,44530.20313,13590016
6/8/2018,50200,50400,49600,49650,43694.15625,16951706
6/11/2018,49750,50300,49350,49900,43914.16797,10571312
6/12/2018,49700,49800,49250,49400,43474.14844,12110569
6/14/2018,49000,49000,48200,48200,42418.09766,20971729
6/15/2018,48500,48700,47650,47650,41934.07422,17080892
6/18/2018,47600,47650,46200,46600,41010.01953,16661870
6/19/2018,47200,47350,46500,47000,41362.04297,15217971
6/20/2018,47450,47600,46850,47000,41362.04297,12959316
6/21/2018,47900,47900,47050,47050,41406.04688,10015541
6/22/2018,47000,47250,46200,47250,41582.05078,10298006
6/25/2018,47050,47050,46150,46650,41054.02344,10587711
6/26/2018,45900,47300,45900,47000,41362.04297,11223166
6/27/2018,47450,48500,47000,47950,42198.08203,15274752
6/28/2018,46850,47150,46600,46800,41492.36328,12784800
6/29/2018,46250,47150,46200,46650,41359.36719,14099635
7/2/2018,46500,47150,45500,45550,40384.12891,13112253
7/3/2018,45750,46450,45750,46150,40916.07813,10959655
7/4/2018,46700,47050,46050,46250,41004.73438,8776763
7/5/2018,46100,46550,45600,45950,40738.76563,7039773
7/6/2018,45500,45850,44650,44900,39807.84375,17843706
7/9/2018,45500,46100,45200,45600,40428.45313,11602464
7/10/2018,46200,46550,46100,46300,41049.05859,10528665
7/11/2018,46400,46450,45400,46000,40783.08594,11224077
7/12/2018,45900,46250,45450,45500,40339.80078,11828104
7/13/2018,45800,46500,45750,46500,41226.38281,11543389
7/16/2018,46800,46800,46000,46050,40827.42188,7678719
7/17/2018,46150,46200,45600,45850,40650.10547,8892953
7/18/2018,46700,47200,46450,46550,41270.71484,10952645
7/19/2018,47050,47200,46600,46900,41581.01563,9880128
7/20/2018,47000,47600,46700,47450,42068.64453,10474547
7/23/2018,47100,47200,46150,46500,41226.38281,10823782
7/24/2018,46350,46600,45950,46150,40916.07813,8261363
7/25/2018,46250,46550,45900,46150,40916.07813,7222471
7/26/2018,46100,47000,46000,46900,41581.01563,7374946
7/27/2018,46450,47000,46450,46900,41581.01563,4762460
7/30/2018,46550,46800,46350,46500,41226.38281,5723035
7/31/2018,46200,46450,46000,46250,41004.73438,8033607
8/1/2018,46050,46850,46050,46550,41270.71484,7484499
8/2/2018,46550,46800,45500,45550,40384.12891,8560924
8/3/2018,45850,45900,45450,45750,40561.44922,8274944
8/6/2018,46150,46150,45750,45800,40605.77344,6771979
8/7/2018,46300,46750,45900,46700,41403.69922,9058174
8/8/2018,47000,47000,46550,46800,41492.36328,6429338
8/9/2018,47000,47050,46450,46900,41581.01563,12010886
8/10/2018,46150,46400,44850,45400,40251.13281,16670643
8/13/2018,44950,45100,44650,45050,39940.83594,9803831
8/14/2018,44850,45400,44850,45150,40029.48047,6409259
8/16/2018,43800,44650,43700,44250,39231.55469,10088229
8/17/2018,44050,44400,44050,44100,39098.56641,6808747
8/20/2018,43500,44200,43500,43850,38876.92188,7289124
8/21/2018,43700,44900,43700,44800,39719.18359,9520270
8/22/2018,45150,46200,44900,46100,40871.74609,11641656
8/23/2018,46150,46200,45700,46200,40960.41406,6730918
8/24/2018,45900,46400,45550,46150,40916.07813,6582535
8/27/2018,46100,46550,46000,46300,41049.05859,5263782
8/28/2018,46800,46950,46300,46550,41270.71484,7365976
8/29/2018,46750,46800,46400,46800,41492.36328,5572374
8/30/2018,46950,47950,46700,47650,42245.96094,12193231
8/31/2018,47100,48450,47000,48450,42955.23047,13577454
9/3/2018,48200,48300,47300,47450,42068.64453,8595084
9/4/2018,47550,47800,47200,47650,42245.96094,6791255
