Date,Open,High,Low,Close,Adj Close,Volume
2018-04-10,48540.000000,49220.000000,48040.000000,48880.000000,43016.527344,10984350
2018-04-11,49900.000000,49900.000000,48600.000000,48860.000000,42998.925781,10051100
2018-04-12,49440.000000,49440.000000,48880.000000,49000.000000,43122.125000,12466250
2018-04-13,49600.000000,50180.000000,49400.000000,49800.000000,43826.167969,10278300
2018-04-16,50320.000000,50600.000000,49860.000000,50340.000000,44301.390625,7877450
2018-04-17,50240.000000,50540.000000,49820.000000,49980.000000,43984.570313,7772000
2018-04-18,51000.000000,51360.000000,50580.000000,51360.000000,45199.031250,13462600
2018-04-19,52000.000000,52980.000000,51540.000000,52780.000000,46448.683594,17190550
2018-04-20,51800.000000,52260.000000,51420.000000,51620.000000,45427.839844,11761000
2018-04-23,51000.000000,52080.000000,51000.000000,51900.000000,45674.253906,11619000
2018-04-24,51840.000000,51860.000000,50080.000000,50460.000000,44406.996094,15770300
2018-04-25,49220.000000,50500.000000,49220.000000,50400.000000,44354.191406,16614600
2018-04-26,50420.000000,52160.000000,50400.000000,52140.000000,45885.460938,18046550
2018-04-27,53380.000000,53640.000000,52440.000000,53000.000000,46642.300781,30310800
2018-04-30,53000.000000,53000.000000,53000.000000,53000.000000,46642.300781,0
2018-05-02,53000.000000,53000.000000,53000.000000,53000.000000,46642.300781,0
2018-05-03,53000.000000,53000.000000,53000.000000,53000.000000,46642.300781,0
2018-05-04,53000.000000,53900.000000,51800.000000,51900.000000,45674.253906,39565391
2018-05-08,52600.000000,53200.000000,51900.000000,52600.000000,46290.289063,23104720
2018-05-09,52600.000000,52800.000000,50900.000000,50900.000000,44794.214844,16128305
2018-05-10,51700.000000,51700.000000,50600.000000,51600.000000,45410.238281,13905263
2018-05-11,52000.000000,52200.000000,51200.000000,51300.000000,45146.234375,10314997
2018-05-14,51000.000000,51100.000000,49900.000000,50100.000000,44090.175781,14909272
2018-05-15,50200.000000,50400.000000,49100.000000,49200.000000,43298.136719,18709146
2018-05-16,49200.000000,50200.000000,49150.000000,49850.000000,43870.167969,15918683
2018-05-17,50300.000000,50500.000000,49400.000000,49400.000000,43474.148438,10365440
2018-05-18,49900.000000,49900.000000,49350.000000,49500.000000,43562.152344,6706570
2018-05-21,49650.000000,50200.000000,49100.000000,50000.000000,44002.175781,9020998
2018-05-23,50600.000000,52000.000000,50400.000000,51800.000000,45586.253906,17095490
2018-05-24,52000.000000,52000.000000,51100.000000,51400.000000,45234.234375,8289275
2018-05-25,51000.000000,52800.000000,50800.000000,52700.000000,46378.289063,15207266
2018-05-28,52500.000000,53000.000000,52000.000000,52300.000000,46026.261719,9787820
2018-05-29,52200.000000,52500.000000,51300.000000,51300.000000,45146.234375,8480437
2018-05-30,51300.000000,51500.000000,49100.000000,49500.000000,43562.152344,20498098
2018-05-31,50400.000000,50800.000000,49850.000000,50700.000000,44618.199219,63491109
2018-06-01,50500.000000,51700.000000,49950.000000,51300.000000,45146.234375,13038499
2018-06-04,50800.000000,51200.000000,50700.000000,51100.000000,44970.230469,9767171
2018-06-05,51100.000000,51400.000000,50400.000000,51300.000000,45146.234375,9144100
2018-06-07,51800.000000,51800.000000,50500.000000,50600.000000,44530.203125,13590016
2018-06-08,50200.000000,50400.000000,49600.000000,49650.000000,43694.156250,16951706
2018-06-11,49750.000000,50300.000000,49350.000000,49900.000000,43914.167969,10571312
2018-06-12,49700.000000,49800.000000,49250.000000,49400.000000,43474.148438,12110569
2018-06-14,49000.000000,49000.000000,48200.000000,48200.000000,42418.097656,20971729
2018-06-15,48500.000000,48700.000000,47650.000000,47650.000000,41934.074219,17080892
2018-06-18,47600.000000,47650.000000,46200.000000,46600.000000,41010.019531,16661870
2018-06-19,47200.000000,47350.000000,46500.000000,47000.000000,41362.042969,15217971
2018-06-20,47450.000000,47600.000000,46850.000000,47000.000000,41362.042969,12959316
2018-06-21,47900.000000,47900.000000,47050.000000,47050.000000,41406.046875,10015541
2018-06-22,47000.000000,47250.000000,46200.000000,47250.000000,41582.050781,10298006
2018-06-25,47050.000000,47050.000000,46150.000000,46650.000000,41054.023438,10587711
2018-06-26,45900.000000,47300.000000,45900.000000,47000.000000,41362.042969,11223166
